Nachname;Vorname;Gender;Klasse;Birthday;Disziplin;Age
Hofmann;Dirk;male;;1/31/2001;Hochsprung;15
Baumgartner;Benjamin;male;;03.01.2002;Hochsprung;14
Amsel;Anne;female;;04.08.1998;Weitsprung;17
Fink;Marco;male;;10.02.2000;Weitsprung;15
Fruehauf;Lucas;male;;06.04.2001;Weitsprung;14
Gerber;Frank;male;;10/22/2000;Hochsprung;15
Schulze;Leon;male;;10/28/1999;Weitsprung;16
Neudorf;Stefanie;female;;07.02.1998;Weitsprung;17
Aachen;Matthias;male;;03.06.1999;Hochsprung;16
Reinhardt;Thorsten;male;;10/28/1998;Weitsprung;17
Metzger;Sven;male;;7/26/1998;Weitsprung;17
Himmel;Patrick;male;;9/17/2000;Hochsprung;15
Keller;Barbara;female;;4/17/2002;Weitsprung;13
Scherer;Michelle;female;;05.08.1999;Weitsprung;16
Zimmer;Melanie;female;;01.03.1998;Weitsprung;18
Cole;Juliane;female;;07.12.2001;Hochsprung;14
Maier;Matthias;male;;07.10.2002;Weitsprung;13
Wirth;Kristin;female;;12.04.2002;Weitsprung;13
Wechsler;Vanessa;female;;11/16/1998;Hochsprung;17
Köhler;Leonie;female;;05.09.2001;Weitsprung;14
Fruehauf;Leah;female;;11/24/1999;Weitsprung;16
Aachen;Eric;male;;04.12.1997;Hochsprung;18
Gruenewald;Ulrich;male;;7/16/1999;Hochsprung;16
Bar;Andrea;female;;08.05.1997;Weitsprung;18
Neumann;Gabriele;female;;3/30/2001;Weitsprung;14
Berg;Sophia;female;;10/31/2000;Weitsprung;15
Koch;Dominik;male;;04.09.2000;Hochsprung;15
Fried;Vanessa;female;;02.12.1999;Weitsprung;17
Schroder;Markus;male;;2/24/2000;Hochsprung;16
Grunwald;Klaus;male;;09.10.1997;Weitsprung;18
Goldschmidt;Vanessa;female;;4/29/1998;Hochsprung;17
Hofmann;Marcel;male;;10/24/1998;Weitsprung;17
Krause;Jan;male;;07.05.2002;Weitsprung;13
Gloeckner;Klaudia;female;;12/17/1999;Weitsprung;16
Becker;Klaus;male;;02.11.2001;Weitsprung;15
Goldschmidt;Michelle;female;;10/23/1999;Hochsprung;16
Moeller;Anja;female;;11/16/1998;Weitsprung;17
Kortig;Klaus;male;;11.01.1998;Weitsprung;17
Bar;Thomas;male;;09.02.1999;Hochsprung;16
Baer;Kristian;male;;11.09.2002;Weitsprung;13
Drechsler;Sven;male;;7/21/2002;Hochsprung;13
Fiedler;Mandy;female;;4/28/1999;Hochsprung;16
Schultz;Andrea;female;;4/15/2000;Hochsprung;15
Zimmer;Janina;female;;9/22/2001;Weitsprung;14
Hoover;Matthias;male;;04.01.2000;Weitsprung;15
Feierabend;Anne;female;;5/15/1997;Hochsprung;18
Beich;Jürgen;male;;05.01.1997;Weitsprung;18
Shuster;Maik;male;;3/28/1998;Weitsprung;17
Junker;Ines;female;;01.03.2002;Weitsprung;14
Weisz;Brigitte;female;;02.12.1999;Hochsprung;17
Schmidt;Sven;male;;09.03.1997;Weitsprung;18
Glockner;Stefan;male;;6/29/2001;Weitsprung;14
Mahler;Manuela;female;;11/19/1998;Hochsprung;17
Ackermann;Antje;female;;05.11.1998;Hochsprung;17
Dreher;Lea;female;;4/28/2001;Weitsprung;14
Klug;Franziska;female;;4/24/2000;Weitsprung;15
Waechter;Johanna;female;;9/20/2001;Weitsprung;14
Wannemaker;Angelika;female;;03.08.1999;Hochsprung;16
Zimmerman;Phillipp;male;;4/28/2002;Weitsprung;13
Saenger;Brigitte;female;;3/16/1997;Hochsprung;18
Möller;Nicole;female;;1/14/2002;Weitsprung;14
Wagner;Swen;male;;04.04.1997;Hochsprung;18
Schweitzer;Sabrina;female;;08.05.2001;Weitsprung;14
Kastner;Birgit;female;;7/29/2000;Weitsprung;15
Jager;Thomas;male;;7/24/1998;Hochsprung;17
Frankfurter;Anna;female;;12.03.1997;Hochsprung;18
Meister;Katja;female;;06.12.2001;Hochsprung;14
Maier;Ines;female;;1/25/1999;Weitsprung;17
Kaufmann;Yvonne;female;;10/13/2001;Weitsprung;14
Schwab;Maximilian;male;;1/14/1998;Hochsprung;18
Gärtner;Torsten;male;;8/16/1999;Hochsprung;16
Werner;Dieter;male;;09.10.2001;Weitsprung;14
Krüger;Stefanie;female;;11/14/1998;Weitsprung;17
Abendroth;Leon;male;;07.06.1998;Hochsprung;17
Freeh;Martin;male;;7/16/2001;Weitsprung;14
Hoover;Franziska;female;;01.07.2001;Weitsprung;15
Gottlieb;Manuela;female;;11/29/2001;Weitsprung;14
Lehrer;Antje;female;;08.07.2000;Weitsprung;15
Nacht;Birgit;female;;9/22/1997;Weitsprung;18
Kunze;Birgit;female;;03.02.1999;Hochsprung;17
Baum;Niklas;male;;1/15/2002;Weitsprung;14
Abendroth;Jan;male;;3/15/1999;Hochsprung;16
Koenig;Sebastian;male;;11/25/1998;Hochsprung;17
Achen;Karin;female;;9/20/2000;Weitsprung;15
Kuester;Katharina;female;;10/13/1997;Weitsprung;18
Ackermann;Katja;female;;12/26/1999;Weitsprung;16
Drescher;Gabriele;female;;07.01.2000;Weitsprung;15
Diederich;Jonas;male;;4/26/1997;Hochsprung;18
Propst;Jörg;male;;2/28/1999;Weitsprung;17
Kohler;Jana;female;;3/23/2000;Weitsprung;15
Schmitz;Dirk;male;;09.11.2002;Weitsprung;13
Decker;Marco;male;;5/25/1998;Weitsprung;17
Rothschild;David;male;;12/17/2001;Hochsprung;14
Mahler;Janina;female;;11/25/2000;Weitsprung;15
Huber;Swen;male;;04.12.2002;Weitsprung;13
Kluge;Tobias;male;;04.10.1999;Weitsprung;16
Schweitzer;Jens;male;;11/13/1999;Weitsprung;16
Nagel;Maria;female;;11/13/1998;Hochsprung;17
Koenig;Antje;female;;10/13/2001;Weitsprung;14
Wolf;Thomas;male;;3/30/1997;Hochsprung;18
Herrmann;Bernd;male;;02.08.1998;Hochsprung;18
Eisenhower;Barbara;female;;5/31/1999;Weitsprung;16
Weiss;Gabriele;female;;07.09.1998;Hochsprung;17
Maier;Maria;female;;10.07.2002;Weitsprung;13
Konig;Michelle;female;;12/24/2000;Weitsprung;15
Fassbinder;Florian;male;;5/27/2002;Weitsprung;13
Vogler;Christian;male;;09.05.2000;Hochsprung;15
Frey;Jens;male;;12/20/1998;Hochsprung;17
Schwarz;Tim;male;;1/21/2003;Weitsprung;13
Meyer;Sarah;female;;11.07.2002;Hochsprung;13
Wurfel;Marcel;male;;3/19/2002;Weitsprung;13
Wirth;Jennifer;female;;11.09.1998;Weitsprung;17
Fisher;Monika;female;;06.12.1998;Weitsprung;17
Cole;Kathrin;female;;02.09.2003;Weitsprung;13
Fleischer;Steffen;male;;2/25/2001;Weitsprung;15
Amsel;Mario;male;;06.08.2000;Weitsprung;15
Weissmuller;Gabriele;female;;09.07.1998;Hochsprung;17
Busch;Thorsten;male;;5/17/1997;Hochsprung;18
König;Anja;female;;07.12.1999;Weitsprung;16
Gruenewald;Antje;female;;12/23/1999;Hochsprung;16
Gottlieb;Mario;male;;11/30/2002;Weitsprung;13
Moench;Marina;female;;07.09.1997;Weitsprung;18
Wirth;Mario;male;;6/21/2001;Weitsprung;14
Barth;Tobias;male;;10.03.1997;Hochsprung;18
Lehmann;Mario;male;;8/27/2001;Weitsprung;14
Seiler;Dominik;male;;06.01.1999;Weitsprung;16
Vogt;Jennifer;female;;4/18/2002;Weitsprung;13
Nagel;Klaus;male;;11/15/2002;Weitsprung;13
Reiniger;Jennifer;female;;7/21/1999;Hochsprung;16
Koenig;Jürgen;male;;12.01.2002;Weitsprung;13
Baecker;Laura;female;;12.08.1998;Hochsprung;17
Meyer;Yvonne;female;;12.01.2001;Weitsprung;14
Kaufmann;Martin;male;;02.05.1999;Hochsprung;17
Maur;Stefan;male;;6/28/2002;Weitsprung;13
Schmid;Sven;male;;11.10.1997;Weitsprung;18
Maur;Leon;male;;5/27/2002;Weitsprung;13
Hartmann;Johanna;female;;01.11.2003;Hochsprung;13
Ackerman;Michelle;female;;3/25/2001;Weitsprung;14
Muench;Jürgen;male;;8/28/2000;Hochsprung;15
Lowe;Lisa;female;;01.09.2003;Weitsprung;13
Grunwald;Florian;male;;07.01.2000;Weitsprung;15
Baum;Dominik;male;;1/21/2003;Weitsprung;13
Roth;Mandy;female;;03.12.2000;Weitsprung;15
Muench;Tobias;male;;7/28/1999;Hochsprung;16
Wurfel;Antje;female;;5/31/1999;Weitsprung;16
Diederich;Leonie;female;;9/15/1997;Weitsprung;18
Theiss;Heike;female;;02.01.1999;Hochsprung;17
Baier;Matthias;male;;1/29/2000;Hochsprung;16
Kastner;Anne;female;;09.12.1997;Hochsprung;18
Grunewald;Susanne;female;;11/29/1998;Hochsprung;17
Schweizer;Jürgen;male;;5/15/1999;Hochsprung;16
Pfeifer;Niklas;male;;10/26/2002;Weitsprung;13
Freytag;Ulrike;female;;4/16/1999;Weitsprung;16
Neumann;Tanja;female;;3/19/1999;Weitsprung;16
Mueller;Steffen;male;;07.12.1997;Hochsprung;18
Fassbinder;Simone;female;;12/13/1998;Hochsprung;17
Bohm;Ute;female;;10.01.1998;Weitsprung;17
Luft;Sabine;female;;3/29/2001;Weitsprung;14
Frueh;Tanja;female;;8/27/1997;Weitsprung;18
Gottlieb;Ulrich;male;;3/25/2002;Weitsprung;13
Lowe;Maik;male;;06.02.1997;Weitsprung;18
Kuster;Leon;male;;12/18/1999;Weitsprung;16
Werfel;Mario;male;;8/16/1999;Weitsprung;16
Müller;Kristian;male;;06.08.1997;Hochsprung;18
Scherer;Sophie;female;;5/15/1998;Weitsprung;17
Hertzog;Matthias;male;;8/14/2001;Weitsprung;14
Nussbaum;Maximilian;male;;9/14/1997;Weitsprung;18
Köhler;Michelle;female;;01.04.2003;Weitsprung;13
Krüger;Angelika;female;;11.05.1997;Hochsprung;18
Abend;Mathias;male;;8/22/2001;Weitsprung;14
Mahler;Andrea;female;;12/25/2000;Weitsprung;15
Neudorf;Uta;female;;07.09.1998;Weitsprung;17
Biermann;Lisa;female;;3/31/2002;Weitsprung;13
Faber;Jonas;male;;08.08.1999;Weitsprung;16
Faerber;Thorsten;male;;08.07.2002;Weitsprung;13
Meyer;Uta;female;;7/28/2002;Weitsprung;13
Hofmann;Christina;female;;03.01.2000;Weitsprung;16
Blau;Laura;female;;12.02.2001;Weitsprung;14
Biermann;Stefanie;female;;3/21/1998;Weitsprung;17
Herrmann;Angelika;female;;10/27/1998;Weitsprung;17
Bergmann;Stephanie;female;;11.08.2001;Weitsprung;14
Zimmermann;Martin;male;;04.06.1998;Hochsprung;17
Mahler;Jens;male;;10/22/2001;Weitsprung;14
Fruehauf;Juliane;female;;5/31/1999;Weitsprung;16
Vogel;Ines;female;;10.08.1999;Hochsprung;16
Thalberg;Jan;male;;3/20/1998;Hochsprung;17
Vogel;Tim;male;;02.06.2001;Weitsprung;15
Hueber;Sabine;female;;8/30/2002;Weitsprung;13
Peters;Simone;female;;01.03.1998;Hochsprung;18
Strauss;Tim;male;;12.11.1998;Weitsprung;17
Eiffel;Gabriele;female;;03.10.1997;Hochsprung;18
Furst;Jana;female;;02.04.1998;Hochsprung;18
Weber;Barbara;female;;9/21/1999;Weitsprung;16
Mueller;Julia;female;;01.10.1998;Hochsprung;18
Vogel;Jessika;female;;08.07.2002;Weitsprung;13
Bach;Eric;male;;05.03.1999;Hochsprung;16
Fuerst;Paul;male;;12.03.1998;Hochsprung;17
Müller;Jan;male;;7/18/1998;Hochsprung;17
Cole;Susanne;female;;8/30/2002;Hochsprung;13
Pfeffer;Ralph;male;;7/29/2002;Weitsprung;13
Fischer;Markus;male;;7/13/2001;Weitsprung;14
Mahler;Thomas;male;;1/19/2002;Weitsprung;14
Busch;Eric;male;;12.06.1999;Weitsprung;16
Bürger;Nicole;female;;11.11.2002;Weitsprung;13
Herrmann;Anne;female;;09.08.2000;Weitsprung;15
Neumann;Susanne;female;;5/14/1997;Hochsprung;18
Abend;Yvonne;female;;2/25/1998;Weitsprung;18
Achen;Martina;female;;12.07.1999;Hochsprung;16
Hueber;Petra;female;;05.09.1999;Hochsprung;16
Papst;Leah;female;;1/16/1999;Weitsprung;17
Saenger;Bernd;male;;06.02.1999;Weitsprung;16
Schultheiss;Phillipp;male;;10.08.2002;Weitsprung;13
Schwarz;Laura;female;;04.03.1998;Weitsprung;17
Gerste;Lucas;male;;04.03.1997;Hochsprung;18
Hoover;Sara;female;;6/30/1998;Weitsprung;17
Konig;Katja;female;;07.02.1998;Weitsprung;17
Duerr;Leah;female;;06.11.2002;Weitsprung;13
Jager;Birgit;female;;02.11.1999;Hochsprung;17
Fuerst;Paul;male;;6/28/1998;Hochsprung;17
Berg;Benjamin;male;;07.11.2001;Hochsprung;14
Urner;Torsten;male;;10/21/2000;Hochsprung;15
Werner;Thomas;male;;02.01.2002;Weitsprung;14
Saenger;Christin;female;;01.09.2000;Hochsprung;16
Fassbinder;Claudia;female;;08.07.1998;Weitsprung;17
Boehm;Sabrina;female;;11.12.1998;Weitsprung;17
Pfeifer;Marina;female;;02.11.1998;Weitsprung;18
Weiß;Brigitte;female;;12/13/2001;Hochsprung;14
Wagner;Frank;male;;09.08.2001;Weitsprung;14
Bieber;Anke;female;;05.08.2001;Weitsprung;14
Baier;Tim;male;;10/31/1999;Hochsprung;16
Lang;Thorsten;male;;2/13/2000;Hochsprung;16
Baumgaertner;Erik;male;;11/24/1998;Weitsprung;17
Beckenbauer;Dominik;male;;06.05.1998;Hochsprung;17
Klug;Mandy;female;;11/15/2000;Weitsprung;15
Eisenberg;Katharina;female;;2/19/1998;Weitsprung;18
Ziegler;Kevin;male;;7/23/1999;Hochsprung;16
Theissen;Tim;male;;11/26/1997;Hochsprung;18
Pfaff;Maik;male;;8/18/1999;Weitsprung;16
Sankt;Maximilian;male;;3/26/2000;Weitsprung;15
Wannemaker;Claudia;female;;5/21/1999;Weitsprung;16
Schultheiss;Laura;female;;12/26/1997;Weitsprung;18
Jung;Sebastian;male;;8/23/2002;Weitsprung;13
Zimmermann;Johanna;female;;4/23/1997;Hochsprung;18
König;Mandy;female;;9/16/1999;Weitsprung;16
Feierabend;Monika;female;;9/21/1998;Weitsprung;17
Theissen;Laura;female;;10/20/2001;Weitsprung;14
Schmid;Laura;female;;11/28/2002;Weitsprung;13
Meister;Torsten;male;;12.07.2000;Weitsprung;15
Baumgaertner;Marina;female;;6/15/1997;Hochsprung;18
Diederich;Thorsten;male;;06.04.1997;Weitsprung;18
Thalberg;Sabine;female;;07.03.1997;Weitsprung;18
Schroeder;Jürgen;male;;6/14/1999;Weitsprung;16
Eberhart;Vanessa;female;;12/25/1997;Weitsprung;18
Meyer;Kristin;female;;10/23/2001;Hochsprung;14
Diederich;Tobias;male;;02.08.1999;Hochsprung;17
Bürger;Ursula;female;;6/22/2001;Weitsprung;14
Thalberg;Annett;female;;12/13/1999;Hochsprung;16
Bauer;Mike;male;;1/20/2000;Weitsprung;16
Fleischer;Manuela;female;;2/20/2001;Weitsprung;15
Diederich;Doreen;female;;12/29/1999;Weitsprung;16
Dresdner;Sophie;female;;07.05.1998;Hochsprung;17
Pfeffer;Luca;male;;11/24/1998;Weitsprung;17
Metzger;Lucas;male;;06.12.2001;Weitsprung;14
Eichelberger;Stefan;male;;9/17/1998;Hochsprung;17
Saenger;Brigitte;female;;8/27/2001;Weitsprung;14
Hahn;Katja;female;;05.04.2001;Weitsprung;14
Ritter;Maria;female;;7/14/1999;Hochsprung;16
Hahn;Uta;female;;12.02.1999;Weitsprung;16
Sankt;Christian;male;;9/29/1999;Hochsprung;16
Eiffel;Marina;female;;6/17/2001;Hochsprung;14
Möller;Nicole;female;;9/14/1998;Hochsprung;17
Duerr;Kristin;female;;5/13/2000;Weitsprung;15
Muench;Mathias;male;;9/28/2000;Hochsprung;15
Gottlieb;Peter;male;;07.07.1998;Weitsprung;17
Eisenberg;Ulrich;male;;08.12.1998;Hochsprung;17
Bader;Eric;male;;11.03.2001;Hochsprung;14
Neudorf;Marina;female;;11/23/2001;Weitsprung;14
Vogler;Doreen;female;;01.08.2003;Weitsprung;13
Bauer;Christine;female;;4/19/1999;Weitsprung;16
Frankfurter;Kevin;male;;9/14/2002;Weitsprung;13
Kohler;Tobias;male;;9/18/2001;Weitsprung;14
Peters;Lea;female;;12.02.1998;Hochsprung;17
Pfaff;Nadine;female;;3/22/2000;Hochsprung;15
Thalberg;Leonie;female;;1/17/1998;Hochsprung;18
Diederich;Frank;male;;08.02.1997;Hochsprung;18
Sommer;Ute;female;;11.01.2002;Weitsprung;13
Amsel;Jana;female;;5/31/2002;Weitsprung;13
Fiedler;Nicole;female;;10.02.1999;Hochsprung;16
Daecher;Sophia;female;;9/16/1997;Weitsprung;18
Pabst;Dieter;male;;4/27/1997;Hochsprung;18
Bach;Leonie;female;;05.06.1999;Hochsprung;16
Boehm;Daniela;female;;12.02.1997;Hochsprung;18
Maur;Leon;male;;12/27/1997;Hochsprung;18
Bieber;Felix;male;;9/25/1999;Weitsprung;16
Bachmeier;Matthias;male;;01.08.2002;Weitsprung;14
Oster;Anna;female;;9/30/1998;Weitsprung;17
Kruger;Julia;female;;02.01.2002;Hochsprung;14
Daecher;Maria;female;;9/22/1998;Weitsprung;17
Metzger;Annett;female;;11.07.1999;Hochsprung;16
Feierabend;Andrea;female;;09.02.1998;Weitsprung;17
Eichelberger;Phillipp;male;;1/21/2003;Weitsprung;13
Weisz;Dirk;male;;03.07.2002;Weitsprung;13
Dietrich;Patrick;male;;08.02.2001;Weitsprung;14
Fink;Dirk;male;;12.06.1999;Weitsprung;16
Schuster;Paul;male;;3/24/2000;Weitsprung;15
Fuchs;Kathrin;female;;1/28/2002;Weitsprung;14
Kalb;Ines;female;;12/23/1997;Hochsprung;18
Mauer;Jessica;female;;11/13/1997;Hochsprung;18
Scholz;Ines;female;;08.10.2002;Weitsprung;13
Rothstein;Marco;male;;2/22/2001;Weitsprung;15
Mueller;Brigitte;female;;01.03.2003;Weitsprung;13
Austerlitz;Steffen;male;;12.01.2001;Hochsprung;14
Abendroth;Sabine;female;;05.09.1997;Hochsprung;18
Herzog;Anna;female;;11/15/1999;Weitsprung;16
Boehm;René;male;;6/22/2001;Weitsprung;14
Berg;Tim;male;;8/23/1998;Weitsprung;17
Schiffer;Silke;female;;6/23/2002;Weitsprung;13
Duerr;Jan;male;;11.04.2000;Weitsprung;15
Fenstermacher;Erik;male;;07.10.1999;Weitsprung;16
Klug;Doreen;female;;7/25/2002;Weitsprung;13
Wurfel;Jens;male;;07.05.1999;Weitsprung;16
Friedmann;Phillipp;male;;07.10.1999;Weitsprung;16
Roth;Matthias;male;;11/30/1998;Weitsprung;17
Herman;Jens;male;;08.11.1998;Weitsprung;17
Weiss;Sophie;female;;11.09.1999;Hochsprung;16
Herrmann;Nadine;female;;2/26/1999;Weitsprung;17
Strauss;Klaudia;female;;12/14/1997;Hochsprung;18
Theissen;Doreen;female;;07.12.2000;Weitsprung;15
Herman;Nicole;female;;7/31/1997;Hochsprung;18
Sanger;Christin;female;;3/29/2001;Weitsprung;14
Kuster;Heike;female;;2/23/2002;Weitsprung;14
Bach;Yvonne;female;;8/24/1999;Weitsprung;16
Wirth;Tim;male;;09.06.2001;Weitsprung;14
Zimmer;Dirk;male;;8/24/1997;Weitsprung;18
Müller;Bernd;male;;02.01.2002;Weitsprung;14
Weiß;Katja;female;;9/19/1998;Weitsprung;17
Hoffmann;Matthias;male;;05.06.1997;Weitsprung;18
Pfeiffer;Michelle;female;;11.12.2002;Weitsprung;13
Koenig;Florian;male;;3/23/1999;Weitsprung;16
Schröder;Mike;male;;06.09.2000;Hochsprung;15
Gerste;Marina;female;;3/31/1999;Weitsprung;16
Neudorf;Tom;male;;1/17/1999;Hochsprung;17
Nacht;Dominik;male;;11/17/2002;Weitsprung;13
Kruger;Christine;female;;9/25/2002;Weitsprung;13
Papst;Silke;female;;7/13/1999;Weitsprung;16
Weisz;Jens;male;;7/18/2001;Hochsprung;14
Kastner;Christian;male;;12/14/1998;Weitsprung;17
Bürger;Dominik;male;;07.04.2002;Weitsprung;13
Beyer;Ulrike;female;;1/26/2002;Weitsprung;14
Waechter;Sophie;female;;11/30/1997;Hochsprung;18
Boehm;Marie;female;;08.04.2000;Weitsprung;15
Mueller;Stephan;male;;12/18/1997;Weitsprung;18
Beich;Ines;female;;11.07.1999;Weitsprung;16
Jung;Mandy;female;;10/26/1998;Weitsprung;17
Freitag;Lisa;female;;4/29/1997;Hochsprung;18
Theissen;Benjamin;male;;10.06.1997;Weitsprung;18
Kaufmann;Ralph;male;;03.09.2002;Hochsprung;13
Mauer;Tim;male;;5/27/1998;Hochsprung;17
Mauer;Barbara;female;;02.09.1999;Weitsprung;17
Kastner;Jennifer;female;;3/13/1998;Hochsprung;17
Schreiner;Karin;female;;1/28/2001;Weitsprung;15
Kunze;Jörg;male;;09.11.1998;Hochsprung;17
Köhler;Christina;female;;3/23/2002;Weitsprung;13
Busch;Jana;female;;1/20/2000;Hochsprung;16
Papst;Barbara;female;;05.03.1997;Hochsprung;18
Gersten;Daniel;male;;02.02.2003;Hochsprung;13
Eisenhauer;Lena;female;;3/24/2000;Weitsprung;15
Grunwald;Monika;female;;12/22/2002;Weitsprung;13
Eberhardt;Maik;male;;8/17/2001;Weitsprung;14
Brandt;Sabine;female;;7/14/1998;Hochsprung;17
Maier;Marko;male;;08.04.1999;Weitsprung;16
Zweig;Jana;female;;6/27/1999;Hochsprung;16
Wulf;Diana;female;;10/17/1998;Weitsprung;17
Traugott;Maria;female;;6/13/2001;Weitsprung;14
Jaeger;Kevin;male;;4/19/1997;Hochsprung;18
Pfaff;Frank;male;;2/17/1999;Weitsprung;17
Jager;Sebastian;male;;10.10.1998;Weitsprung;17
Kuefer;Martina;female;;3/17/2001;Weitsprung;14
Waechter;Lukas;male;;12/31/2001;Weitsprung;14
Meier;Tom;male;;11/15/2001;Weitsprung;14
Hoch;Uta;female;;9/23/2000;Weitsprung;15
Kalb;Andreas;male;;3/29/1999;Weitsprung;16
Beckenbauer;Karin;female;;3/24/1999;Weitsprung;16
Vogel;Heike;female;;1/14/1999;Hochsprung;17
Herrmann;Luca;male;;07.05.1997;Weitsprung;18
Vogel;Andrea;female;;10/17/1998;Weitsprung;17
Abt;Luca;male;;04.11.2001;Weitsprung;14
Schulze;Wolfgang;male;;03.09.1997;Hochsprung;18
Fisher;Tom;male;;2/14/2003;Weitsprung;13
Amsel;Marcel;male;;11.11.1999;Hochsprung;16
Gruenewald;Paul;male;;11.09.1998;Weitsprung;17
Herman;Florian;male;;10.10.1997;Hochsprung;18
Naumann;Petra;female;;10/26/1998;Hochsprung;17
Kortig;Jürgen;male;;11/27/2002;Weitsprung;13
Jung;Katharina;female;;10.07.1998;Hochsprung;17
Berg;Steffen;male;;9/15/1999;Hochsprung;16
Engel;Luca;male;;7/16/1997;Weitsprung;18
Propst;Lea;female;;7/13/1998;Hochsprung;17
Berg;Diana;female;;02.03.2000;Hochsprung;16
Lemann;Klaudia;female;;01.12.2003;Weitsprung;13
Mueller;Wolfgang;male;;03.05.1998;Hochsprung;18
Berg;Yvonne;female;;1/22/2002;Weitsprung;14
Peters;Jessica;female;;07.01.2002;Weitsprung;13
Mehler;Janina;female;;11/15/2001;Weitsprung;14
Holzman;Mandy;female;;8/22/2000;Weitsprung;15
Oster;Sara;female;;06.05.1999;Weitsprung;16
Gersten;Stephanie;female;;03.07.2000;Weitsprung;15
Engel;Dirk;male;;07.12.2000;Weitsprung;15
Ritter;Manuela;female;;5/26/2001;Weitsprung;14
Wirtz;Frank;male;;11/19/2001;Weitsprung;14
Aachen;Sven;male;;02.12.2001;Hochsprung;15
Kalb;Dominik;male;;4/27/2000;Weitsprung;15
Dietrich;Monika;female;;08.03.1997;Weitsprung;18
Kohl;Matthias;male;;08.02.2000;Weitsprung;15
Herz;Markus;male;;01.08.2003;Weitsprung;13
