Nachname;Vorname;Klasse;Gender;Birthday;Hochsprung;Weitsprung;Age;Kugelstossen;;
Goldschmidt;Michelle;;female;10/23/1999;x;;16;Hochsprung;;
Moeller;Anja;;female;11/16/1998;;x;17;Weitsprung;;
Kortig;Klaus;;male;11.01.1998;;x;17;Weitsprung;;
Bar;Thomas;;male;09.02.1999;x;;16;Hochsprung;;
Baer;Kristian;;male;11.09.2002;;x;13;Weitsprung;;
Drechsler;Sven;;male;7/21/2002;x;;13;Hochsprung;;
Fiedler;Mandy;;female;4/28/1999;x;;16;Hochsprung;;
Schultz;Andrea;;female;4/15/2000;x;;15;Hochsprung;;
Zimmer;Janina;;female;9/22/2001;;x;14;Weitsprung;;
Hoover;Matthias;;male;04.01.2000;;x;15;Weitsprung;;
Feierabend;Anne;;female;5/15/1997;x;;18;Hochsprung;;
Beich;Jürgen;;male;05.01.1997;;x;18;Weitsprung;;
Shuster;Maik;;male;3/28/1998;;x;17;Weitsprung;;
Junker;Ines;;female;01.03.2002;;x;14;Weitsprung;;
Weisz;Brigitte;;female;02.12.1999;x;;17;Hochsprung;;
Schmidt;Sven;;male;09.03.1997;;x;18;Weitsprung;;
Glockner;Stefan;;male;6/29/2001;;x;14;Weitsprung;;
Mahler;Manuela;;female;11/19/1998;x;;17;Hochsprung;;
Ackermann;Antje;;female;05.11.1998;x;;17;Hochsprung;;
Dreher;Lea;;female;4/28/2001;;x;14;Weitsprung;;
Klug;Franziska;;female;4/24/2000;;x;15;Weitsprung;;
Waechter;Johanna;;female;9/20/2001;;x;14;Weitsprung;;
Wannemaker;Angelika;;female;03.08.1999;x;;16;Hochsprung;;
Zimmerman;Phillipp;;male;4/28/2002;;x;13;Weitsprung;;
Saenger;Brigitte;;female;3/16/1997;x;;18;Hochsprung;;
Möller;Nicole;;female;1/14/2002;;x;14;Weitsprung;;
Wagner;Swen;;male;04.04.1997;x;;18;Hochsprung;;
Schweitzer;Sabrina;;female;08.05.2001;;x;14;Weitsprung;;
Kastner;Birgit;;female;7/29/2000;;x;15;Weitsprung;;
Jager;Thomas;;male;7/24/1998;x;;17;Hochsprung;;
Frankfurter;Anna;;female;12.03.1997;x;;18;Hochsprung;;
Meister;Katja;;female;06.12.2001;x;;14;Hochsprung;;
Maier;Ines;;female;1/25/1999;;x;17;Weitsprung;;
Kaufmann;Yvonne;;female;10/13/2001;;x;14;Weitsprung;;
Schwab;Maximilian;;male;1/14/1998;x;;18;Hochsprung;;
Gärtner;Torsten;;male;8/16/1999;x;;16;Hochsprung;;
Werner;Dieter;;male;09.10.2001;;x;14;Weitsprung;;
Krüger;Stefanie;;female;11/14/1998;;x;17;Weitsprung;;
Abendroth;Leon;;male;07.06.1998;x;;17;Hochsprung;;
Freeh;Martin;;male;7/16/2001;;x;14;Weitsprung;;
Hoover;Franziska;;female;01.07.2001;;x;15;Weitsprung;;
Gottlieb;Manuela;;female;11/29/2001;;x;14;Weitsprung;;
Lehrer;Antje;;female;08.07.2000;;x;15;Weitsprung;;
Nacht;Birgit;;female;9/22/1997;;x;18;Weitsprung;;
Kunze;Birgit;;female;03.02.1999;x;;17;Hochsprung;;
Baum;Niklas;;male;1/15/2002;;x;14;Weitsprung;;
Abendroth;Jan;;male;3/15/1999;x;;16;Hochsprung;;
Koenig;Sebastian;;male;11/25/1998;x;;17;Hochsprung;;
Achen;Karin;;female;9/20/2000;;x;15;Weitsprung;;
Kuester;Katharina;;female;10/13/1997;;x;18;Weitsprung;;
Ackermann;Katja;;female;12/26/1999;;x;16;Weitsprung;;
Drescher;Gabriele;;female;07.01.2000;;x;15;Weitsprung;;
Diederich;Jonas;;male;4/26/1997;x;;18;Hochsprung;;
Propst;Jörg;;male;2/28/1999;;x;17;Weitsprung;;
Kohler;Jana;;female;3/23/2000;;x;15;Weitsprung;;
Schmitz;Dirk;;male;09.11.2002;;x;13;Weitsprung;;
Decker;Marco;;male;5/25/1998;;x;17;Weitsprung;;
Rothschild;David;;male;12/17/2001;x;;14;Hochsprung;;
Mahler;Janina;;female;11/25/2000;;x;15;Weitsprung;;
Huber;Swen;;male;04.12.2002;;x;13;Weitsprung;;
Kluge;Tobias;;male;04.10.1999;;x;16;Weitsprung;;
Schweitzer;Jens;;male;11/13/1999;;x;16;Weitsprung;;
Nagel;Maria;;female;11/13/1998;x;;17;Hochsprung;;
Koenig;Antje;;female;10/13/2001;;x;14;Weitsprung;;
Wolf;Thomas;;male;3/30/1997;x;;18;Hochsprung;;
Herrmann;Bernd;;male;02.08.1998;x;;18;Hochsprung;;
Eisenhower;Barbara;;female;5/31/1999;;x;16;Weitsprung;;
Weiss;Gabriele;;female;07.09.1998;x;;17;Hochsprung;;
Maier;Maria;;female;10.07.2002;;x;13;Weitsprung;;
Konig;Michelle;;female;12/24/2000;;x;15;Weitsprung;;
Fassbinder;Florian;;male;5/27/2002;;x;13;Weitsprung;;
Vogler;Christian;;male;09.05.2000;x;;15;Hochsprung;;
Frey;Jens;;male;12/20/1998;x;;17;Hochsprung;;
Schwarz;Tim;;male;1/21/2003;;x;13;Weitsprung;;
Meyer;Sarah;;female;11.07.2002;x;;13;Hochsprung;;
Wurfel;Marcel;;male;3/19/2002;;x;13;Weitsprung;;
Wirth;Jennifer;;female;11.09.1998;;x;17;Weitsprung;;
Fisher;Monika;;female;06.12.1998;;x;17;Weitsprung;;
Cole;Kathrin;;female;02.09.2003;;x;13;Weitsprung;;
Fleischer;Steffen;;male;2/25/2001;;x;15;Weitsprung;;
Amsel;Mario;;male;06.08.2000;;x;15;Weitsprung;;
Weissmuller;Gabriele;;female;09.07.1998;x;;17;Hochsprung;;
Busch;Thorsten;;male;5/17/1997;x;;18;Hochsprung;;
König;Anja;;female;07.12.1999;;x;16;Weitsprung;;
Gruenewald;Antje;;female;12/23/1999;x;;16;Hochsprung;;
Gottlieb;Mario;;male;11/30/2002;;x;13;Weitsprung;;
Moench;Marina;;female;07.09.1997;;x;18;Weitsprung;;
Wirth;Mario;;male;6/21/2001;;x;14;Weitsprung;;
Barth;Tobias;;male;10.03.1997;x;;18;Hochsprung;;
Lehmann;Mario;;male;8/27/2001;;x;14;Weitsprung;;
Seiler;Dominik;;male;06.01.1999;;x;16;Weitsprung;;
Vogt;Jennifer;;female;4/18/2002;;x;13;Weitsprung;;
Nagel;Klaus;;male;11/15/2002;;x;13;Weitsprung;;
Reiniger;Jennifer;;female;7/21/1999;x;;16;Hochsprung;;
Koenig;Jürgen;;male;12.01.2002;;x;13;Weitsprung;;
Baecker;Laura;;female;12.08.1998;x;;17;Hochsprung;;
Meyer;Yvonne;;female;12.01.2001;;x;14;Weitsprung;;
Kaufmann;Martin;;male;02.05.1999;x;;17;Hochsprung;;
Maur;Stefan;;male;6/28/2002;;x;13;Weitsprung;;
Schmid;Sven;;male;11.10.1997;;x;18;Weitsprung;;
Maur;Leon;;male;5/27/2002;;x;13;Weitsprung;;
Hartmann;Johanna;;female;01.11.2003;x;;13;Hochsprung;;
Ackerman;Michelle;;female;3/25/2001;;x;14;Weitsprung;;
Muench;Jürgen;;male;8/28/2000;x;;15;Hochsprung;;
Lowe;Lisa;;female;01.09.2003;;x;13;Weitsprung;;
Grunwald;Florian;;male;07.01.2000;;x;15;Weitsprung;;
Baum;Dominik;;male;1/21/2003;;x;13;Weitsprung;;
Roth;Mandy;;female;03.12.2000;;x;15;Weitsprung;;
Muench;Tobias;;male;7/28/1999;x;;16;Hochsprung;;
Wurfel;Antje;;female;5/31/1999;;x;16;Weitsprung;;
Diederich;Leonie;;female;9/15/1997;;x;18;Weitsprung;;
Theiss;Heike;;female;02.01.1999;x;;17;Hochsprung;;
Baier;Matthias;;male;1/29/2000;x;;16;Hochsprung;;
Kastner;Anne;;female;09.12.1997;x;;18;Hochsprung;;
Grunewald;Susanne;;female;11/29/1998;x;;17;Hochsprung;;
Schweizer;Jürgen;;male;5/15/1999;x;;16;Hochsprung;;
Pfeifer;Niklas;;male;10/26/2002;;x;13;Weitsprung;;
Freytag;Ulrike;;female;4/16/1999;;x;16;Weitsprung;;
Neumann;Tanja;;female;3/19/1999;;x;16;Weitsprung;;
Mueller;Steffen;;male;07.12.1997;x;;18;Hochsprung;;
Fassbinder;Simone;;female;12/13/1998;x;;17;Hochsprung;;
Bohm;Ute;;female;10.01.1998;;x;17;Weitsprung;;
Luft;Sabine;;female;3/29/2001;;x;14;Weitsprung;;
Frueh;Tanja;;female;8/27/1997;;x;18;Weitsprung;;
Gottlieb;Ulrich;;male;3/25/2002;;x;13;Weitsprung;;
Lowe;Maik;;male;06.02.1997;;x;18;Weitsprung;;
Kuster;Leon;;male;12/18/1999;;x;16;Weitsprung;;
Werfel;Mario;;male;8/16/1999;;x;16;Weitsprung;;
Müller;Kristian;;male;06.08.1997;x;;18;Hochsprung;;
Scherer;Sophie;;female;5/15/1998;;x;17;Weitsprung;;
Hertzog;Matthias;;male;8/14/2001;;x;14;Weitsprung;;
Nussbaum;Maximilian;;male;9/14/1997;;x;18;Weitsprung;;
Köhler;Michelle;;female;01.04.2003;;x;13;Weitsprung;;
Krüger;Angelika;;female;11.05.1997;x;;18;Hochsprung;;
Abend;Mathias;;male;8/22/2001;;x;14;Weitsprung;;
Mahler;Andrea;;female;12/25/2000;;x;15;Weitsprung;;
Neudorf;Uta;;female;07.09.1998;;x;17;Weitsprung;;
Biermann;Lisa;;female;3/31/2002;;x;13;Weitsprung;;
Faber;Jonas;;male;08.08.1999;;x;16;Weitsprung;;
Faerber;Thorsten;;male;08.07.2002;;x;13;Weitsprung;;
Meyer;Uta;;female;7/28/2002;;x;13;Weitsprung;;
Hofmann;Christina;;female;03.01.2000;;x;16;Weitsprung;;
Blau;Laura;;female;12.02.2001;;x;14;Weitsprung;;
Biermann;Stefanie;;female;3/21/1998;;x;17;Weitsprung;;
Herrmann;Angelika;;female;10/27/1998;;x;17;Weitsprung;;
Bergmann;Stephanie;;female;11.08.2001;;x;14;Weitsprung;;
Zimmermann;Martin;;male;04.06.1998;x;;17;Hochsprung;;
Mahler;Jens;;male;10/22/2001;;x;14;Weitsprung;;
Fruehauf;Juliane;;female;5/31/1999;;x;16;Weitsprung;;
Vogel;Ines;;female;10.08.1999;x;;16;Hochsprung;;
Thalberg;Jan;;male;3/20/1998;x;;17;Hochsprung;;
Vogel;Tim;;male;02.06.2001;;x;15;Weitsprung;;
Hueber;Sabine;;female;8/30/2002;;x;13;Weitsprung;;
Peters;Simone;;female;01.03.1998;x;;18;Hochsprung;;
Strauss;Tim;;male;12.11.1998;;x;17;Weitsprung;;
Eiffel;Gabriele;;female;03.10.1997;x;;18;Hochsprung;;
Furst;Jana;;female;02.04.1998;x;;18;Hochsprung;;
Weber;Barbara;;female;9/21/1999;;x;16;Weitsprung;;
Mueller;Julia;;female;01.10.1998;x;;18;Hochsprung;;
Vogel;Jessika;;female;08.07.2002;;x;13;Weitsprung;;
Bach;Eric;;male;05.03.1999;x;;16;Hochsprung;;
Fuerst;Paul;;male;12.03.1998;x;;17;Hochsprung;;
Müller;Jan;;male;7/18/1998;x;;17;Hochsprung;;
Cole;Susanne;;female;8/30/2002;x;;13;Hochsprung;;
Pfeffer;Ralph;;male;7/29/2002;;x;13;Weitsprung;;
Fischer;Markus;;male;7/13/2001;;x;14;Weitsprung;;
Mahler;Thomas;;male;1/19/2002;;x;14;Weitsprung;;
Busch;Eric;;male;12.06.1999;;x;16;Weitsprung;;
Bürger;Nicole;;female;11.11.2002;;x;13;Weitsprung;;
Herrmann;Anne;;female;09.08.2000;;x;15;Weitsprung;;
Neumann;Susanne;;female;5/14/1997;x;;18;Hochsprung;;
Abend;Yvonne;;female;2/25/1998;;x;18;Weitsprung;;
Achen;Martina;;female;12.07.1999;x;;16;Hochsprung;;
Hueber;Petra;;female;05.09.1999;x;;16;Hochsprung;;
Papst;Leah;;female;1/16/1999;;x;17;Weitsprung;;
Saenger;Bernd;;male;06.02.1999;;x;16;Weitsprung;;
Schultheiss;Phillipp;;male;10.08.2002;;x;13;Weitsprung;;
Schwarz;Laura;;female;04.03.1998;;x;17;Weitsprung;;
Gerste;Lucas;;male;04.03.1997;x;;18;Hochsprung;;
Hoover;Sara;;female;6/30/1998;;x;17;Weitsprung;;
Konig;Katja;;female;07.02.1998;;x;17;Weitsprung;;
Duerr;Leah;;female;06.11.2002;;x;13;Weitsprung;;
Jager;Birgit;;female;02.11.1999;x;;17;Hochsprung;;
Fuerst;Paul;;male;6/28/1998;x;;17;Hochsprung;;
Berg;Benjamin;;male;07.11.2001;x;;14;Hochsprung;;
Urner;Torsten;;male;10/21/2000;x;;15;Hochsprung;;
Werner;Thomas;;male;02.01.2002;;x;14;Weitsprung;;
Saenger;Christin;;female;01.09.2000;x;;16;Hochsprung;;
Fassbinder;Claudia;;female;08.07.1998;;x;17;Weitsprung;;
Boehm;Sabrina;;female;11.12.1998;;x;17;Weitsprung;;
Pfeifer;Marina;;female;02.11.1998;;x;18;Weitsprung;;
Weiß;Brigitte;;female;12/13/2001;x;;14;Hochsprung;;
Wagner;Frank;;male;09.08.2001;;x;14;Weitsprung;;
Bieber;Anke;;female;05.08.2001;;x;14;Weitsprung;;
Baier;Tim;;male;10/31/1999;x;;16;Hochsprung;;
Lang;Thorsten;;male;2/13/2000;x;;16;Hochsprung;;
Baumgaertner;Erik;;male;11/24/1998;;x;17;Weitsprung;;
Beckenbauer;Dominik;;male;06.05.1998;x;;17;Hochsprung;;
Klug;Mandy;;female;11/15/2000;;x;15;Weitsprung;;
Eisenberg;Katharina;;female;2/19/1998;;x;18;Weitsprung;;
Ziegler;Kevin;;male;7/23/1999;x;;16;Hochsprung;;
Theissen;Tim;;male;11/26/1997;x;;18;Hochsprung;;
Pfaff;Maik;;male;8/18/1999;;x;16;Weitsprung;;
Sankt;Maximilian;;male;3/26/2000;;x;15;Weitsprung;;
Wannemaker;Claudia;;female;5/21/1999;;x;16;Weitsprung;;
Schultheiss;Laura;;female;12/26/1997;;x;18;Weitsprung;;
Jung;Sebastian;;male;8/23/2002;;x;13;Weitsprung;;
Zimmermann;Johanna;;female;4/23/1997;x;;18;Hochsprung;;
König;Mandy;;female;9/16/1999;;x;16;Weitsprung;;
Feierabend;Monika;;female;9/21/1998;;x;17;Weitsprung;;
Theissen;Laura;;female;10/20/2001;;x;14;Weitsprung;;
Schmid;Laura;;female;11/28/2002;;x;13;Weitsprung;;
Meister;Torsten;;male;12.07.2000;;x;15;Weitsprung;;
Baumgaertner;Marina;;female;6/15/1997;x;;18;Hochsprung;;
Diederich;Thorsten;;male;06.04.1997;;x;18;Weitsprung;;
Thalberg;Sabine;;female;07.03.1997;;x;18;Weitsprung;;
Schroeder;Jürgen;;male;6/14/1999;;x;16;Weitsprung;;
Eberhart;Vanessa;;female;12/25/1997;;x;18;Weitsprung;;
Meyer;Kristin;;female;10/23/2001;x;;14;Hochsprung;;
Diederich;Tobias;;male;02.08.1999;x;;17;Hochsprung;;
Bürger;Ursula;;female;6/22/2001;;x;14;Weitsprung;;
Thalberg;Annett;;female;12/13/1999;x;;16;Hochsprung;;
Bauer;Mike;;male;1/20/2000;;x;16;Weitsprung;;
Fleischer;Manuela;;female;2/20/2001;;x;15;Weitsprung;;
Diederich;Doreen;;female;12/29/1999;;x;16;Weitsprung;;
Dresdner;Sophie;;female;07.05.1998;x;;17;Hochsprung;;
Pfeffer;Luca;;male;11/24/1998;;x;17;Weitsprung;;
Metzger;Lucas;;male;06.12.2001;;x;14;Weitsprung;;
Eichelberger;Stefan;;male;9/17/1998;x;;17;Hochsprung;;
Saenger;Brigitte;;female;8/27/2001;;x;14;Weitsprung;;
Hahn;Katja;;female;05.04.2001;;x;14;Weitsprung;;
Ritter;Maria;;female;7/14/1999;x;;16;Hochsprung;;
Hahn;Uta;;female;12.02.1999;;x;16;Weitsprung;;
Sankt;Christian;;male;9/29/1999;x;;16;Hochsprung;;
Eiffel;Marina;;female;6/17/2001;x;;14;Hochsprung;;
Möller;Nicole;;female;9/14/1998;x;;17;Hochsprung;;
Duerr;Kristin;;female;5/13/2000;;x;15;Weitsprung;;
Muench;Mathias;;male;9/28/2000;x;;15;Hochsprung;;
Gottlieb;Peter;;male;07.07.1998;;x;17;Weitsprung;;
Eisenberg;Ulrich;;male;08.12.1998;x;;17;Hochsprung;;
Bader;Eric;;male;11.03.2001;x;;14;Hochsprung;;
Neudorf;Marina;;female;11/23/2001;;x;14;Weitsprung;;
Vogler;Doreen;;female;01.08.2003;;x;13;Weitsprung;;
Bauer;Christine;;female;4/19/1999;;x;16;Weitsprung;;
Frankfurter;Kevin;;male;9/14/2002;;x;13;Weitsprung;;
Kohler;Tobias;;male;9/18/2001;;x;14;Weitsprung;;
Peters;Lea;;female;12.02.1998;x;;17;Hochsprung;;
Pfaff;Nadine;;female;3/22/2000;x;;15;Hochsprung;;
Thalberg;Leonie;;female;1/17/1998;x;;18;Hochsprung;;
Diederich;Frank;;male;08.02.1997;x;;18;Hochsprung;;
Sommer;Ute;;female;11.01.2002;;x;13;Weitsprung;;
Amsel;Jana;;female;5/31/2002;;x;13;Weitsprung;;
Fiedler;Nicole;;female;10.02.1999;x;;16;Hochsprung;;
Daecher;Sophia;;female;9/16/1997;;x;18;Weitsprung;;
Pabst;Dieter;;male;4/27/1997;x;;18;Hochsprung;;
Bach;Leonie;;female;05.06.1999;x;;16;Hochsprung;;
Boehm;Daniela;;female;12.02.1997;x;;18;Hochsprung;;
Maur;Leon;;male;12/27/1997;x;;18;Hochsprung;;
Bieber;Felix;;male;9/25/1999;;x;16;Weitsprung;;
Bachmeier;Matthias;;male;01.08.2002;;x;14;Weitsprung;;
Oster;Anna;;female;9/30/1998;;x;17;Weitsprung;;
Kruger;Julia;;female;02.01.2002;x;;14;Hochsprung;;
Daecher;Maria;;female;9/22/1998;;x;17;Weitsprung;;
Metzger;Annett;;female;11.07.1999;x;;16;Hochsprung;;
Feierabend;Andrea;;female;09.02.1998;;x;17;Weitsprung;;
Eichelberger;Phillipp;;male;1/21/2003;;x;13;Weitsprung;;
Weisz;Dirk;;male;03.07.2002;;x;13;Weitsprung;;
Dietrich;Patrick;;male;08.02.2001;;x;14;Weitsprung;;
Fink;Dirk;;male;12.06.1999;;x;16;Weitsprung;;
Schuster;Paul;;male;3/24/2000;;x;15;Weitsprung;;
Fuchs;Kathrin;;female;1/28/2002;;x;14;Weitsprung;;
Kalb;Ines;;female;12/23/1997;x;;18;Hochsprung;;
Mauer;Jessica;;female;11/13/1997;x;;18;Hochsprung;;
Scholz;Ines;;female;08.10.2002;;x;13;Weitsprung;;
Rothstein;Marco;;male;2/22/2001;;x;15;Weitsprung;;
Mueller;Brigitte;;female;01.03.2003;;x;13;Weitsprung;;
Austerlitz;Steffen;;male;12.01.2001;x;;14;Hochsprung;;
Abendroth;Sabine;;female;05.09.1997;x;;18;Hochsprung;;
Herzog;Anna;;female;11/15/1999;;x;16;Weitsprung;;
Boehm;René;;male;6/22/2001;;x;14;Weitsprung;;
Berg;Tim;;male;8/23/1998;;x;17;Weitsprung;;
Schiffer;Silke;;female;6/23/2002;;x;13;Weitsprung;;
Duerr;Jan;;male;11.04.2000;;x;15;Weitsprung;;
Fenstermacher;Erik;;male;07.10.1999;;x;16;Weitsprung;;
Klug;Doreen;;female;7/25/2002;;x;13;Weitsprung;;
Wurfel;Jens;;male;07.05.1999;;x;16;Weitsprung;;
Friedmann;Phillipp;;male;07.10.1999;;x;16;Weitsprung;;
Roth;Matthias;;male;11/30/1998;;x;17;Weitsprung;;
Herman;Jens;;male;08.11.1998;;x;17;Weitsprung;;
Weiss;Sophie;;female;11.09.1999;x;;16;Hochsprung;;
Herrmann;Nadine;;female;2/26/1999;;x;17;Weitsprung;;
Strauss;Klaudia;;female;12/14/1997;x;;18;Hochsprung;;
Theissen;Doreen;;female;07.12.2000;;x;15;Weitsprung;;
Herman;Nicole;;female;7/31/1997;x;;18;Hochsprung;;
Sanger;Christin;;female;3/29/2001;;x;14;Weitsprung;;
Kuster;Heike;;female;2/23/2002;;x;14;Weitsprung;;
Bach;Yvonne;;female;8/24/1999;;x;16;Weitsprung;;
Wirth;Tim;;male;09.06.2001;;x;14;Weitsprung;;
Zimmer;Dirk;;male;8/24/1997;;x;18;Weitsprung;;
Müller;Bernd;;male;02.01.2002;;x;14;Weitsprung;;
Weiß;Katja;;female;9/19/1998;;x;17;Weitsprung;;
Hoffmann;Matthias;;male;05.06.1997;;x;18;Weitsprung;;
Pfeiffer;Michelle;;female;11.12.2002;;x;13;Weitsprung;;
Koenig;Florian;;male;3/23/1999;;x;16;Weitsprung;;
Schröder;Mike;;male;06.09.2000;x;;15;Hochsprung;;
Gerste;Marina;;female;3/31/1999;;x;16;Weitsprung;;
Neudorf;Tom;;male;1/17/1999;x;;17;Hochsprung;;
Nacht;Dominik;;male;11/17/2002;;x;13;Weitsprung;;
